"","id","k","v"
"1500283",27387577,"highway","footway"
"1500284",27387578,"highway","trunk"
"1500285",27387578,"maxspeed","60mph"
"1500286",27387578,"name","Horsforth New Road"
"1500287",27387578,"ref","A6120"
"1500288",27387579,"highway","footway"
"1500292",27387587,"highway","service"
"1500387",27387895,"highway","unclassified"
"1500388",27387895,"name","New Leeds"
"1500389",27387897,"highway","residential"
"1500390",27387897,"name","Billington Close"
"1500659",27389783,"highway","residential"
"1500660",27389783,"name","Airedale Cliff"
"1500661",27389784,"highway","service"
"1501072",27392293,"highway","secondary"
"1501073",27392293,"lit","yes"
"1501074",27392293,"maxspeed","30 mph"
"1501075",27392293,"name","Station Road"
"1501076",27392293,"ref","B6125"
"1501077",27392294,"highway","tertiary"
"1501078",27392294,"lit","yes"
"1501079",27392294,"maxspeed","30 mph"
"1501080",27392294,"name","Moorland Road"
"1501081",27392295,"highway","tertiary"
"1501082",27392295,"lit","yes"
"1501083",27392295,"maxspeed","30 mph"
"1501084",27392295,"name","Street Lane"
"1501085",27392296,"highway","secondary"
"1501086",27392296,"maxspeed","30 mph"
"1501087",27392296,"name","Church Street"
"1501088",27392296,"ref","B6126"
"1502813",27407940,"highway","unclassified"
"1502814",27407940,"name","Redcote Lane"
"1502815",27407941,"highway","service"
"1502816",27407942,"highway","service"
"1502817",27407943,"highway","footway"
"1502818",27407944,"highway","service"
"1502819",27407945,"highway","service"
"1502820",27407946,"highway","service"
"1502821",27407946,"oneway","yes"
"1502822",27407947,"highway","service"
"1502823",27407947,"oneway","yes"
"1502824",27407948,"highway","service"
"1502825",27407948,"oneway","yes"
"1502826",27407949,"highway","service"
"1502827",27407951,"highway","service"
"1502828",27407955,"highway","service"
"1502829",27407957,"highway","residential"
"1502830",27407957,"name","Victoria Park Grove"
"1502831",27407958,"highway","residential"
"1502832",27407958,"name","Kirkstall Mount"
"1502833",27407959,"highway","residential"
"1502834",27407959,"name","Victoria Park Avenue"
"1502835",27407960,"highway","residential"
"1502836",27407960,"name","Raynville Avenue"
"1502837",27407961,"highway","residential"
"1502838",27407961,"name","Victoria Park Grove"
"1502930",27408087,"highway","service"
"1502931",27408088,"highway","service"
"1502935",27408142,"bridge","yes"
"1502936",27408142,"highway","unclassified"
"1502937",27408142,"name","Redcote Lane"
"1502938",27408143,"highway","unclassified"
"1502939",27408143,"name","Redcote Lane"
"1502940",27408144,"highway","service"
"1503380",27410512,"bicycle","yes"
"1503381",27410512,"bridge","yes"
"1503382",27410512,"cycleway","track"
"1503383",27410512,"foot","yes"
"1503384",27410512,"highway","cycleway"
"1503385",27410512,"horse","yes"
"1503386",27410512,"name","towpath"
"1503387",27410512,"ncn_ref","66"
"1503388",27410515,"access","permissive"
"1503389",27410515,"bicycle","yes"
"1503390",27410515,"cycleway","track"
"1503391",27410515,"foot","yes"
"1503392",27410515,"highway","path"
"1503393",27410515,"horse","yes"
"1503394",27410515,"motor_vehicle","no"
"1503395",27410515,"name","Aire Valley Towpath"
"1503396",27410515,"ncn_ref","66"
"1503397",27410515,"surface","asphalt"
"1503398",27410516,"highway","footway"
"1503415",27410995,"highway","track"
"1503416",27410995,"surface","dirt"
"1503432",27411529,"highway","service"
"1503905",27413305,"highway","tertiary"
"1503906",27413305,"maxspeed","30mph"
"1503907",27413305,"name","Dick Lane"
"1503908",27413305,"oneway","yes"
"1503911",27413307,"highway","unclassified"
"1503912",27413307,"name","Mid Point"
"1503913",27413308,"highway","unclassified"
"1503914",27413308,"junction","roundabout"
"1503915",27413308,"name","Mid Point"
"1504013",27413563,"highway","tertiary_link"
"1504014",27413563,"oneway","yes"
"1505275",27420477,"highway","primary"
"1505276",27420477,"lit","yes"
"1505277",27420477,"maxspeed","30 mph"
"1505278",27420477,"name","Kirkstall Road"
"1505279",27420477,"oneway","yes"
"1505280",27420477,"ref","A65"
"1505281",27420478,"highway","primary"
"1505282",27420478,"lanes","2"
"1505283",27420478,"lit","yes"
"1505284",27420478,"maxspeed","30 mph"
"1505285",27420478,"name","Kirkstall Road"
"1505286",27420478,"oneway","yes"
"1505287",27420478,"ref","A65"
"1505288",27420479,"highway","primary"
"1505289",27420479,"lit","yes"
"1505290",27420479,"maxspeed","30 mph"
"1505291",27420479,"name","Kirkstall Road"
"1505292",27420479,"ref","A65"
"1505293",27420480,"highway","service"
"1505294",27420480,"oneway","yes"
"1505295",27420481,"highway","service"
"1505296",27420481,"oneway","yes"
"1505297",27420482,"highway","service"
"1505298",27420484,"highway","service"
"1505299",27420484,"oneway","yes"
"1505325",27420793,"highway","residential"
"1505326",27420793,"name","Birfed Crescent"
"1505327",27421049,"cycleway","lane"
"1505328",27421049,"highway","primary"
"1505329",27421049,"lit","yes"
"1505330",27421049,"maxspeed","30 mph"
"1505331",27421049,"name","Kirkstall Road"
"1505332",27421049,"ref","A65"
"1505336",27421051,"highway","footway"
"1505337",27421052,"highway","residential"
"1505338",27421052,"name","Raynville Close"
"1505339",27421053,"highway","service"
"1505360",27421392,"highway","residential"
"1505361",27421392,"name","Raynville Street"
"1505362",27421393,"highway","residential"
"1505363",27421393,"name","Raynville Street"
"1505364",27421394,"highway","residential"
"1505365",27421394,"name","Raynville Grove"
"1505366",27421395,"highway","residential"
"1505367",27421395,"name","Raynville Terrace"
"1505368",27421396,"highway","residential"
"1505369",27421396,"name","Raynville Mount"
"1505370",27421397,"highway","residential"
"1505371",27421397,"name","Landseer Avenue"
"1505372",27421398,"highway","residential"
"1505373",27421398,"name","Landseer Grove"
"1505374",27421399,"highway","residential"
"1505375",27421399,"name","Landseer Terrace"
"1505376",27421400,"highway","service"
"1505377",27421400,"name","Back Landseer Grove"
"1505378",27421401,"highway","service"
"1505379",27421401,"name","Back Landseer Avenue"
"1505380",27421402,"highway","footway"
"1505381",27421403,"highway","service"
"1505382",27421403,"name","Back Landseer Terrace"
"1505383",27421404,"highway","residential"
"1505384",27421404,"name","Lancastre Avenue"
"1505385",27421405,"highway","residential"
"1505386",27421405,"name","Lancastre Grove"
"1505387",27421406,"highway","residential"
"1505388",27421406,"name","Lancastre Avenue"
"1505389",27421407,"highway","residential"
"1505390",27421407,"name","Abbey Avenue"
"1505391",27421409,"highway","service"
"1505392",27421409,"name","Back Raynville Mount"
"1505393",27421411,"highway","residential"
"1505394",27421411,"name","Broadlea Place"
"1505395",27421412,"highway","footway"
"1505470",27421567,"bridge","yes"
"1505471",27421567,"highway","tertiary"
"1505472",27421567,"name","Savins Mill Way"
"1505473",27421567,"oneway","yes"
"1505474",27421568,"highway","tertiary"
"1505475",27421568,"name","Savins Mill Way"
"1505476",27421568,"oneway","yes"
"1506446",27431234,"highway","tertiary"
"1506447",27431234,"maxspeed","30mph"
"1506448",27431234,"name","Dick Lane"
"1506893",27433288,"highway","footway"
"1507026",27433524,"highway","footway"
"1507027",27433525,"highway","footway"
"1507028",27433526,"highway","service"
"1507475",27439535,"highway","residential"
"1507476",27439535,"name","Burley Wood Crescent"
"1507477",27439537,"highway","residential"
"1507478",27439538,"highway","primary"
"1507479",27439538,"maxspeed","30 mph"
"1507480",27439538,"name","Abbey Road"
"1507481",27439538,"oneway","yes"
"1507482",27439538,"ref","A65"
"1507483",27439539,"highway","tertiary"
"1507484",27439539,"name","Savins Mill Way"
"1507485",27439539,"oneway","yes"
"1507486",27439540,"bridge","yes"
"1507487",27439540,"highway","tertiary"
"1507488",27439540,"name","Savins Mill Way"
"1507489",27439540,"oneway","yes"
"1507490",27439541,"highway","tertiary"
"1507491",27439541,"name","Savins Mill Way"
"1507492",27439541,"oneway","yes"
"1507493",27439542,"highway","tertiary_link"
"1507494",27439542,"oneway","yes"
"1507495",27439543,"highway","tertiary_link"
"1507496",27439543,"oneway","yes"
"1507497",27439544,"highway","secondary_link"
"1507498",27439544,"maxspeed","30mph"
"1507499",27439544,"oneway","yes"
"1507500",27439546,"highway","primary"
"1507501",27439546,"lit","yes"
"1507502",27439546,"maxspeed","30 mph"
"1507503",27439546,"name","Commercial Road"
"1507504",27439546,"oneway","yes"
"1507505",27439546,"ref","A65"
"1507506",27439548,"highway","primary"
"1507507",27439548,"maxspeed","30 mph"
"1507508",27439548,"name","Commercial Road"
"1507509",27439548,"oneway","yes"
"1507510",27439548,"ref","A65"
"1507511",27439549,"highway","tertiary"
"1507512",27439549,"oneway","yes"
"1507513",27439550,"highway","service"
"1507514",27439550,"oneway","yes"
"1507515",27439551,"highway","service"
"1507528",27439664,"highway","residential"
"1507529",27439664,"maxspeed","20mph"
"1507530",27439664,"name","Haddon Place"
"1507531",27439665,"highway","residential"
"1507532",27439665,"maxspeed","20mph"
"1507533",27439665,"name","Haddon Avenue"
"1507547",27439801,"highway","service"
"1507548",27439835,"highway","service"
"1507561",27440017,"bridge","yes"
"1507562",27440017,"highway","service"
"1507563",27440018,"bridge","yes"
"1507564",27440018,"highway","service"
"1507565",27440019,"highway","service"
"1507588",27440172,"highway","unclassified"
"1507589",27440172,"name","Britannia Street"
"1507590",27440172,"oneway","yes"
"1507591",27440173,"highway","unclassified"
"1507592",27440173,"name","Central Street"
"1507593",27440174,"highway","pedestrian"
"1507594",27440174,"name","Park Square South"
"1507595",27440175,"highway","unclassified"
"1507596",27440175,"name","Park Square South"
"1507597",27440175,"oneway","yes"
"1507598",27440176,"highway","service"
"1507599",27440389,"bridge","yes"
"1507600",27440389,"highway","tertiary"
"1507601",27440389,"name","Crow Nest Lane"
"1507602",27440390,"highway","tertiary"
"1507603",27440390,"name","Crow Nest Lane"
"1507604",27440394,"highway","primary"
"1507605",27440394,"lit","yes"
"1507606",27440394,"maxspeed","40 mph"
"1507607",27440394,"name","Gelderd Road"
"1507608",27440394,"ref","A62"
"1507609",27440579,"highway","residential"
"1507610",27440579,"name","Cardinal Avenue"
"1507861",27448664,"foot","yes"
"1507862",27448664,"highway","service"
"1507863",27448664,"name","Vernon Road"
"1507919",27449149,"highway","footway"
"1510283",27475030,"bicycle","yes"
"1510284",27475030,"highway","trunk"
"1510285",27475030,"maxspeed","40mph"
"1510286",27475030,"name","Clay Pit Lane"
"1510287",27475030,"oneway","yes"
"1510288",27475030,"ref","A58"
"1510289",27475036,"highway","motorway_link"
"1510290",27475036,"maxspeed","40mph"
"1510291",27475036,"oneway","yes"
"1510292",27475036,"tunnel","yes"
"1510293",27475037,"highway","motorway_link"
"1510294",27475037,"maxspeed","40mph"
"1510295",27475037,"oneway","yes"
"1510296",27475040,"bicycle","yes"
"1510297",27475040,"highway","trunk_link"
"1510298",27475040,"maxspeed","40mph"
"1510299",27475040,"oneway","yes"
"1510300",27475041,"highway","residential"
"1510301",27475041,"name","Carlton Gate"
"1510304",27475043,"highway","residential"
"1510305",27475043,"name","Chorley Lane"
"1510306",27475043,"surface","cobblestone"
"1510307",27475044,"highway","unclassified"
"1510308",27475044,"name","Belmont Grove"
"1510309",27475045,"highway","steps"
"1510310",27475046,"highway","service"
"1510311",27475046,"tunnel","yes"
"1510321",27475171,"highway","footway"
"1510322",27475173,"highway","service"
"1510323",27475173,"name","Cromer Road"
"1510429",27478661,"highway","unclassified"
"1510430",27478661,"name","Harewood Street"
"1510431",27478662,"highway","unclassified"
"1510432",27478662,"name","Millgarth Street"
"1510433",27478789,"highway","unclassified"
"1510434",27478790,"highway","unclassified"
"1510435",27478790,"name","Harper Street"
"1510436",27478790,"oneway","yes"
"1510437",27478791,"highway","unclassified"
"1510438",27478791,"oneway","yes"
"1510439",27478792,"highway","pedestrian"
"1510440",27478793,"highway","service"
"1510441",27478793,"oneway","yes"
"1510442",27478965,"highway","service"
"1510443",27478965,"name","Thorseby Place"
"1510444",27478965,"oneway","yes"
"1511879",27492601,"highway","residential"
"1511880",27492601,"name","Abbey Terrace"
"1511881",27492602,"highway","residential"
"1511882",27492602,"name","Boston Avenue"
"1511883",27492603,"highway","residential"
"1511884",27492603,"name","Vickers Avenue"
"1511885",27492604,"highway","residential"
"1511886",27492604,"name","Raynville Crescent"
"1511887",27492605,"highway","residential"
"1511888",27492605,"name","Wensleydale Crescent"
"1511889",27492606,"highway","residential"
"1511890",27492606,"name","Wensleydale Crescent"
"1511891",27492607,"highway","residential"
"1511892",27492607,"name","Wensleydale Crescent"
"1511893",27492608,"highway","residential"
"1511894",27492608,"name","Wensleydale Mews"
"1511895",27492609,"highway","residential"
"1511896",27492609,"name","Borrowdale Crescent"
"1511897",27492610,"highway","residential"
"1511898",27492610,"name","Borrowdale Crescent"
"1511899",27492611,"highway","residential"
"1511900",27492611,"name","Borrowdale Crescent"
"1511901",27492612,"highway","residential"
"1511902",27492612,"name","Borrowdale Close"
"1511903",27492615,"highway","residential"
"1511904",27492615,"name","Raynville Place"
"1511905",27492616,"highway","residential"
"1511906",27492616,"name","Raynville Place"
"1511907",27492617,"highway","residential"
"1511908",27492617,"name","Raynville Approach"
"1512022",27493224,"highway","residential"
"1512023",27493224,"name","The Elms"
"1512024",27493225,"highway","residential"
"1512025",27493225,"name","Somerdale Walk"
"1512026",27493226,"highway","residential"
"1512027",27493226,"name","Somerdale Gardens"
"1512028",27493227,"highway","residential"
"1512029",27493227,"name","Raynville Walk"
"1512030",27493228,"highway","residential"
"1512031",27493228,"name","Raynville Walk"
"1512032",27493229,"highway","residential"
"1512033",27493229,"name","Raynville Walk"
"1512034",27493230,"highway","residential"
"1512035",27493230,"name","Raynville Walk"
"1512036",27493231,"highway","residential"
"1512037",27493231,"name","Raynville Walk"
"1512038",27493232,"highway","residential"
"1512039",27493232,"name","Raynville Green"
"1513985",27511822,"highway","residential"
"1513986",27511822,"name","Cross Chapel Street"
"1513987",27511822,"oneway","yes"
"1514014",27512356,"highway","tertiary"
"1514015",27512356,"maxspeed","40 mph"
"1514016",27512356,"name","Tong Lane"
"1514257",27512945,"highway","residential"
"1514258",27512945,"name","Low Moorside"
"1514259",27512946,"highway","tertiary"
"1514260",27512946,"name","Maple Drive"
"1514261",27512947,"highway","tertiary"
"1514262",27512947,"name","Lawns Lane"
"1514263",27512948,"highway","tertiary"
"1514264",27512948,"name","Chapel Lane"
"1514431",27515788,"highway","residential"
"1514432",27515788,"name","Bawn Approach"
"1515299",27538533,"highway","residential"
"1515300",27538533,"name","Shire Road"
"1515301",27538534,"highway","residential"
"1515302",27538534,"name","Shire Road"
"1515303",27538535,"highway","residential"
"1515304",27538535,"name","Shire Road"
"1515305",27538536,"highway","residential"
"1515306",27538536,"name","Shire Road"
"1515307",27538537,"highway","residential"
"1515308",27538537,"name","Shire Road"
"1515309",27538539,"highway","residential"
"1515310",27538539,"name","Shire Road"
"1515311",27538540,"highway","residential"
"1515312",27538540,"name","Shire Road"
"1515313",27538541,"highway","residential"
"1515314",27538541,"name","Shire Road"
"1515315",27538542,"highway","residential"
"1515316",27538542,"name","Steeple Close"
"1515317",27538543,"highway","residential"
"1515318",27538543,"name","Shire Road"
"1515319",27538544,"highway","residential"
"1515320",27538544,"name","Shire Road"
"1515321",27538545,"highway","residential"
"1515322",27538545,"name","Shire Close"
"1515323",27538546,"highway","residential"
"1515324",27538546,"name","Shire Close"
"1515325",27538547,"highway","residential"
"1515326",27538547,"name","The Gallops"
"1515327",27538548,"highway","residential"
"1515328",27538548,"name","Chase Court"
"1515329",27538549,"highway","residential"
"1515330",27538549,"name","Chase Court"
"1515331",27538550,"highway","residential"
"1515332",27538550,"name","Chase Avenue"
"1515333",27538551,"highway","residential"
"1515334",27538551,"name","Shire Court"
"1515335",27538552,"highway","service"
"1515336",27538553,"highway","residential"
"1515337",27538553,"name","Rein Street"
"1515338",27538553,"surface","gravel"
"1515339",27538554,"highway","residential"
"1515340",27538554,"name","Poplar Crescent"
"1515341",27538556,"highway","pedestrian"
"1515342",27538556,"name","Hodgson Street"
"1515343",27538558,"highway","residential"
"1515344",27538558,"name","Hodgson Street"
"1515345",27538572,"highway","footway"
"1515346",27538574,"highway","footway"
"1515347",27538575,"highway","residential"
"1515348",27538575,"name","Tingley Crescent"
"1515349",27538576,"highway","residential"
"1515350",27538576,"name","Tingley Crescent"
"1515351",27538577,"highway","residential"
"1515352",27538577,"name","Aspen Court"
"1515353",27538578,"highway","residential"
"1515354",27538578,"name","Aspen Court"
"1515355",27538579,"highway","residential"
"1515356",27538579,"name","Aspen Court"
"1515357",27538581,"highway","residential"
"1515358",27538581,"name","Aspen Court"
"1515359",27538583,"highway","residential"
"1515360",27538583,"name","Tingley Crescent"
"1515361",27538585,"highway","residential"
"1515362",27538585,"name","Tingley Crescent"
"1515364",27538608,"highway","footway"
"1515365",27538610,"highway","footway"
"1515366",27538612,"highway","residential"
"1515367",27538612,"name","Tingley Crescent"
"1515368",27538614,"highway","footway"
"1515369",27538623,"bridge","yes"
"1515370",27538623,"highway","primary"
"1515371",27538623,"maxspeed","30mph"
"1515372",27538623,"name","Rein Road"
"1515373",27538623,"ref","A6029"
"1515374",27538624,"highway","residential"
"1515375",27538624,"name","Shone Court"
"1515376",27538625,"highway","service"
"1515378",27538627,"highway","service"
"1515379",27538628,"highway","residential"
"1515380",27538628,"name","Shire Road"
"1515381",27538629,"highway","footway"
"1515382",27538631,"highway","service"
"1515383",27538633,"highway","footway"
"1515384",27538638,"highway","service"
"1515385",27538661,"highway","service"
"1515386",27538662,"highway","footway"
"1515387",27538664,"highway","residential"
"1515388",27538664,"name","Rein Gardens"
"1515389",27538666,"highway","residential"
"1515390",27538666,"name","Rein Gardens"
"1515391",27538671,"highway","residential"
"1515392",27538671,"name","Rein Mews"
"1515393",27538672,"highway","footway"
"1515394",27538673,"highway","track"
"1515395",27538675,"highway","residential"
"1515396",27538675,"name","Woodkirk Avenue"
"1515397",27538676,"highway","residential"
"1515398",27538676,"name","Woodkirk Grove"
"1515399",27538677,"highway","residential"
"1515400",27538677,"name","Dewsbury Road"
"1515401",27538678,"highway","residential"
"1515402",27538678,"name","Dewsbury Road"
"1515403",27538680,"highway","residential"
"1515404",27538680,"name","Sunnyside Avenue"
"1515405",27538682,"highway","residential"
"1515406",27538682,"name","Scarborough Street"
"1515407",27538684,"highway","residential"
"1515408",27538684,"name","Scarborough Street"
"1515409",27538686,"highway","residential"
"1515410",27538686,"name","Scarborough Lane"
"1515411",27538688,"highway","residential"
"1515412",27538688,"name","Scarborough Lane"
"1515413",27538689,"highway","residential"
"1515414",27538689,"name","Scarborough Lane"
"1515415",27538691,"highway","residential"
"1515416",27538691,"name","Scarborough Lane"
"1515417",27538692,"highway","residential"
"1515418",27538692,"name","Oban Close"
"1515419",27538694,"highway","residential"
"1515420",27538694,"name","Oban Close"
"1515421",27538696,"highway","residential"
"1515422",27538696,"name","Highfield"
"1515423",27538697,"highway","residential"
"1515424",27538697,"name","Highfield"
"1515425",27538699,"highway","residential"
"1515426",27538699,"name","Highfield"
"1515427",27538700,"highway","residential"
"1515428",27538700,"name","Kitson Street"
"1515429",27538702,"highway","residential"
"1515430",27538702,"name","Dawson Street"
"1515431",27538704,"highway","residential"
"1515432",27538704,"name","Thornefield Crescent"
"1515433",27538706,"highway","residential"
"1515434",27538706,"name","Thornefield Crescent"
"1515435",27538707,"highway","residential"
"1515436",27538707,"name","Turnberry Gardens"
"1515437",27538709,"highway","residential"
"1515438",27538709,"name","Turnberry Gardens"
"1515439",27538711,"highway","footway"
"1515440",27538713,"highway","residential"
"1515441",27538713,"name","Turnberry Gardens"
"1515442",27538714,"highway","residential"
"1515443",27538714,"name","Turnberry Gardens"
"1515444",27538716,"highway","residential"
"1515445",27538716,"name","Turnberry Close"
"1515446",27538718,"highway","residential"
"1515447",27538718,"name","Turnberry Drive"
"1515448",27538720,"highway","residential"
"1515449",27538720,"name","Turnberry Drive"
"1515451",27538723,"highway","footway"
"1515452",27538725,"highway","footway"
"1515453",27538891,"highway","primary"
"1515454",27538891,"maxspeed","40mph"
"1515455",27538891,"name","Tingley Common"
"1515456",27538891,"oneway","yes"
"1515457",27538891,"ref","A650"
"1516999",27552644,"highway","motorway_link"
"1517000",27552644,"lit","yes"
"1517001",27552644,"maxspeed","70mph"
"1517002",27552644,"oneway","yes"
"1517003",27552645,"bridge","yes"
"1517004",27552645,"highway","motorway_link"
"1517005",27552645,"oneway","yes"
"1517006",27552646,"highway","motorway_link"
"1517007",27552646,"lanes","3"
"1517008",27552646,"lit","yes"
"1517009",27552646,"maxspeed","30mph"
"1517010",27552646,"oneway","yes"
"1517011",27552647,"bridge","yes"
"1517012",27552647,"highway","unclassified"
"1517013",27552647,"name","New Princess Street"
"1517014",27552648,"highway","unclassified"
"1517015",27552648,"name","New Princess Street"
"1517016",27552650,"bicycle","yes"
"1517017",27552650,"cycleway","share_busway"
"1517018",27552650,"highway","trunk"
"1517019",27552650,"maxspeed","30mph"
"1517020",27552650,"name","Dewsbury Road"
"1517021",27552650,"oneway","yes"
"1517022",27552650,"ref","A653"
"1517023",27552651,"bicycle","yes"
"1517024",27552651,"highway","trunk"
"1517025",27552651,"lit","yes"
"1517026",27552651,"maxspeed","30mph"
"1517027",27552651,"name","Dewsbury Road"
"1517028",27552651,"oneway","yes"
"1517029",27552651,"ref","A653"
"1517030",27552652,"bicycle","yes"
"1517031",27552652,"cycleway","share_busway"
"1517032",27552652,"highway","trunk"
"1517033",27552652,"maxspeed","30mph"
"1517034",27552652,"name","Dewsbury Road"
"1517035",27552652,"oneway","yes"
"1517036",27552652,"ref","A653"
"1517037",27552653,"highway","footway"
"1517038",27552654,"bridge","yes"
"1517039",27552654,"highway","footway"
"1517040",27552655,"bridge","yes"
"1517041",27552655,"highway","tertiary"
"1517042",27552655,"lit","yes"
"1517043",27552655,"name","Nineveh Road"
"1517044",27552656,"highway","tertiary"
"1517045",27552656,"lit","yes"
"1517046",27552656,"name","Nineveh Road"
"1517932",27566539,"highway","unclassified"
"1517933",27566540,"highway","residential"
"1517934",27566540,"name","Greenhill Mount"
"1517935",27566541,"highway","residential"
"1517936",27566541,"name","Greenhill Mount"
"1517937",27566542,"highway","residential"
"1517938",27566542,"name","Greenhill Place"
"1517939",27566543,"highway","footway"
"1517940",27566544,"highway","residential"
"1517941",27566544,"name","Stanningley Road"
"1517942",27566545,"highway","residential"
"1517943",27566545,"name","Poplar Rise"
"1517944",27566546,"highway","residential"
"1517945",27566546,"name","Greenhill Drive"
"1517946",27566547,"highway","residential"
"1517947",27566547,"name","Greenhill Way"
"1517948",27566548,"highway","service"
"1517949",27566550,"highway","footway"
"1517950",27566551,"highway","residential"
"1517951",27566551,"name","Houghley Lane"
"1517952",27566553,"highway","footway"
"1517953",27566554,"highway","service"
"1517954",27566557,"highway","pedestrian"
"1517955",27566558,"highway","residential"
"1517956",27566558,"name","Wyther Park Road"
"1517957",27566560,"highway","residential"
"1517958",27566560,"name","Wyther Park Avenue"
"1517959",27566561,"highway","residential"
"1517960",27566561,"name","Wyther Park Street"
"1517961",27566562,"highway","residential"
"1517962",27566562,"name","Wyther Park Terrace"
"1517963",27566563,"highway","residential"
"1517964",27566563,"name","Wyther Park Square"
"1517965",27566564,"highway","service"
"1517966",27566565,"highway","residential"
"1517967",27566566,"highway","unclassified"
"1517968",27566566,"name","Houghley Lane"
"1517969",27566568,"highway","residential"
"1517970",27566568,"name","Houghley Close"
"1517971",27566569,"bicycle","permissive"
"1517972",27566569,"highway","footway"
"1517973",27566569,"name","Houghley Gill"
"1517974",27566570,"highway","footway"
"1517975",27566571,"highway","residential"
"1517976",27566571,"name","Raynville Gardens"
"1517977",27566572,"highway","residential"
"1517978",27566572,"name","Raynville Way"
"1517979",27566574,"highway","residential"
"1517980",27566574,"name","Paxton Court"
"1517981",27566576,"highway","residential"
"1517982",27566576,"name","Roxburgh Mews"
"1517983",27566579,"highway","footway"
"1517984",27566580,"highway","footway"
"1517985",27566581,"highway","residential"
"1517986",27566581,"name","Manderston Chase"
"1517987",27566583,"highway","footway"
"1517988",27566585,"highway","residential"
"1517989",27566585,"name","Houghley Avenue"
"1517990",27566586,"highway","residential"
"1517991",27566586,"name","Houghley Square"
"1517992",27566588,"highway","residential"
"1517993",27566588,"name","Manderston Chase"
"1517994",27566589,"bicycle","permissive"
"1517995",27566589,"highway","footway"
"1517996",27566591,"highway","footway"
"1517997",27566592,"highway","footway"
"1517998",27566594,"highway","footway"
"1517999",27566595,"highway","steps"
"1518000",27566596,"highway","footway"
"1518001",27566597,"highway","residential"
"1518002",27566597,"name","Westvale Mews"
"1518003",27566599,"highway","residential"
"1518004",27566599,"name","Martindale Drive"
"1518005",27566600,"highway","residential"
"1518006",27566600,"name","Westvale Mews"
"1518283",27571878,"highway","footway"
"1518284",27571879,"highway","steps"
"1518285",27571880,"highway","service"
"1518286",27571880,"oneway","yes"
"1518287",27571881,"highway","service"
"1518288",27571883,"highway","service"
"1518289",27571884,"highway","residential"
"1518290",27571884,"name","Wyther Park Close"
"1518291",27571885,"highway","residential"
"1518292",27571885,"name","Wensleydale Drive"
"1518293",27571886,"highway","residential"
"1518294",27571886,"name","Wensleydale Rise"
"1518295",27571887,"highway","residential"
"1518296",27571887,"name","Wensleydale Avenue"
"1518297",27571888,"highway","footway"
"1518298",27571889,"highway","residential"
"1518299",27571889,"name","Wensleydale Close"
"1518371",27572028,"highway","service"
"1518372",27572030,"highway","residential"
"1518373",27572030,"name","Wyther Park Grove"
"1518420",27572243,"highway","residential"
"1518421",27572243,"name","Wyther Park Place"
"1518422",27572244,"highway","service"
"1518426",27572796,"highway","residential"
"1518427",27572797,"highway","service"
"1518428",27572798,"highway","residential"
"1518429",27572798,"name","Vicarage Mews"
"1518430",27572799,"highway","residential"
"1518431",27572799,"name","Vicarage Mews"
"1518432",27572800,"highway","cycleway"
"1518433",27572800,"lcn","yes"
"1518434",27572800,"tunnel","yes"
"1519132",27583340,"highway","footway"
"1519717",27590942,"highway","residential"
"1519718",27590942,"name","Farnham Close"
"1519719",27590944,"highway","service"
"1519720",27590944,"name","Fulton Place"
"1519721",27590945,"highway","residential"
"1519722",27590945,"name","Huntington Crescent"
"1519723",27590946,"highway","residential"
"1519724",27590946,"name","Carisbrooke Road"
"1519737",27591199,"highway","service"
"1519738",27591199,"name","Sandford Place"
"1519739",27591200,"highway","residential"
"1519740",27591200,"name","Lenhurst Avenue"
"1519741",27591201,"highway","service"
"1519742",27591202,"highway","residential"
"1519743",27591202,"name","Houghley Road"
"1519744",27591203,"highway","residential"
"1519745",27591203,"name","Houghley Crescent"
"1519746",27591204,"highway","residential"
"1519747",27591204,"name","Raynville Garth"
"1519794",27591308,"highway","residential"
"1519795",27591308,"name","Landseer Crescent"
"1519796",27591309,"highway","residential"
"1519797",27591309,"name","Landseer View"
"1519798",27591310,"highway","residential"
"1519799",27591310,"name","Landseer Drive"
"1519800",27591311,"highway","residential"
"1519801",27591311,"name","Landseer Crescent"
"1519802",27591311,"oneway","yes"
"1519803",27591312,"highway","residential"
"1519804",27591312,"name","Landseer Road"
"1519805",27591313,"highway","residential"
"1519806",27591313,"name","Landseer Mount"
"1519914",27591561,"highway","residential"
"1519915",27591561,"name","The Cricketers"
"1519916",27591562,"highway","residential"
"1519917",27591562,"name","The Cricketers"
"1519918",27591563,"highway","residential"
"1519919",27591563,"name","Sayers Close"
"1519920",27591564,"highway","residential"
"1519921",27591564,"name","Sayers Close"
"1519922",27591565,"highway","residential"
"1519923",27591565,"name","Sayers Close"
"1519924",27591566,"highway","track"
"1519925",27591567,"highway","track"
"1519926",27591567,"tunnel","yes"
"1519927",27591568,"highway","steps"
"1519928",27591571,"highway","residential"
"1519929",27591571,"name","Queenswood Gardens"
"1519930",27591572,"highway","residential"
"1519931",27591572,"name","Queenswood Rise"
"1519932",27591573,"highway","residential"
"1519933",27591573,"name","Jaques Close"
"1519934",27591574,"highway","residential"
"1519935",27591574,"name","Jaques Close"
"1519936",27591575,"highway","residential"
"1519937",27591575,"lcn","yes"
"1519938",27591575,"name","Foxcroft Road"
"1519939",27591576,"highway","residential"
